species_name	surface_name	formation_energy	frequencies	reference
CH2CH2_s	Pt	1.57	[3109.6,3084.3,3023.5,3012.9,1453.0,1424.6,1203.0,1065.2,1054.5,986.7,947.6,809.3,661.4,539.8,437.8,203.9,141.4,132.6]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2_s	Pd	1.62	[3109.6,3084.3,3023.5,3012.9,1453.0,1424.6,1203.0,1065.2,1054.5,986.7,947.6,809.3,661.4,539.8,437.8,203.9,141.4,132.6]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2_s	Ru	1.52	[3109.6,3084.3,3023.5,3012.9,1453.0,1424.6,1203.0,1065.2,1054.5,986.7,947.6,809.3,661.4,539.8,437.8,203.9,141.4,132.6]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2_s	Rh	1.53	[3109.6,3084.3,3023.5,3012.9,1453.0,1424.6,1203.0,1065.2,1054.5,986.7,947.6,809.3,661.4,539.8,437.8,203.9,141.4,132.6]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2_s	Ni	1.65	[3109.6,3084.3,3023.5,3012.9,1453.0,1424.6,1203.0,1065.2,1054.5,986.7,947.6,809.3,661.4,539.8,437.8,203.9,141.4,132.6]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2_s	Cu	1.84	[3109.6,3084.3,3023.5,3012.9,1453.0,1424.6,1203.0,1065.2,1054.5,986.7,947.6,809.3,661.4,539.8,437.8,203.9,141.4,132.6]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH_s	Co	2.25	[3057.6,3011.0,2990.1,1412.3,1113.3,1065.9,1007.0,961.1,746.5,678.0,575.3,508.6,380.5,260.0,222.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH_s	Fe	1.77	[3057.6,3011.0,2990.1,1412.3,1113.3,1065.9,1007.0,961.1,746.5,678.0,575.3,508.6,380.5,260.0,222.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH_s	Pt	1.98	[3057.6,3011.0,2990.1,1412.3,1113.3,1065.9,1007.0,961.1,746.5,678.0,575.3,508.6,380.5,260.0,222.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH_s	Pd	2.18	[3057.6,3011.0,2990.1,1412.3,1113.3,1065.9,1007.0,961.1,746.5,678.0,575.3,508.6,380.5,260.0,222.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH_s	Ru	1.8	[3057.6,3011.0,2990.1,1412.3,1113.3,1065.9,1007.0,961.1,746.5,678.0,575.3,508.6,380.5,260.0,222.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH_s	Rh	1.85	[3057.6,3011.0,2990.1,1412.3,1113.3,1065.9,1007.0,961.1,746.5,678.0,575.3,508.6,380.5,260.0,222.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH_s	Ni	2.3	[3057.6,3011.0,2990.1,1412.3,1113.3,1065.9,1007.0,961.1,746.5,678.0,575.3,508.6,380.5,260.0,222.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH_s	Cu	3.03	[3057.6,3011.0,2990.1,1412.3,1113.3,1065.9,1007.0,961.1,746.5,678.0,575.3,508.6,380.5,260.0,222.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH2C_s	Co	2.42	[3159.0,3068.1,1441.6,1260.6,988.0,934.8,713.0,516.8,469.0,405.3,292.6,218.0]	ACS Catal. 2021, 11, 23, 14545–14560
CH2C_s	Fe	1.77	[3159.0,3068.1,1441.6,1260.6,988.0,934.8,713.0,516.8,469.0,405.3,292.6,218.0]	ACS Catal. 2021, 11, 23, 14545–14560
CH2C_s	Pt	2.05	[3159.0,3068.1,1441.6,1260.6,988.0,934.8,713.0,516.8,469.0,405.3,292.6,218.0]	ACS Catal. 2021, 11, 23, 14545–14560
CH2C_s	Pd	2.33	[3159.0,3068.1,1441.6,1260.6,988.0,934.8,713.0,516.8,469.0,405.3,292.6,218.0]	ACS Catal. 2021, 11, 23, 14545–14560
CH2C_s	Ru	1.82	[3159.0,3068.1,1441.6,1260.6,988.0,934.8,713.0,516.8,469.0,405.3,292.6,218.0]	ACS Catal. 2021, 11, 23, 14545–14560
CH2C_s	Rh	1.88	[3159.0,3068.1,1441.6,1260.6,988.0,934.8,713.0,516.8,469.0,405.3,292.6,218.0]	ACS Catal. 2021, 11, 23, 14545–14560
CH2C_s	Ni	2.48	[3159.0,3068.1,1441.6,1260.6,988.0,934.8,713.0,516.8,469.0,405.3,292.6,218.0]	ACS Catal. 2021, 11, 23, 14545–14560
CH2C_s	Cu	3.5	[3159.0,3068.1,1441.6,1260.6,988.0,934.8,713.0,516.8,469.0,405.3,292.6,218.0]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH_s	Co	2.19	[3103.0,3082.9,1280.3,1134.7,992.2,848.1,763.9,607.4,539.4,291.1,287.5,275.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH_s	Fe	1.75	[3103.0,3082.9,1280.3,1134.7,992.2,848.1,763.9,607.4,539.4,291.1,287.5,275.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH_s	Pt	1.94	[3103.0,3082.9,1280.3,1134.7,992.2,848.1,763.9,607.4,539.4,291.1,287.5,275.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH_s	Pd	2.12	[3103.0,3082.9,1280.3,1134.7,992.2,848.1,763.9,607.4,539.4,291.1,287.5,275.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH_s	Ru	1.78	[3103.0,3082.9,1280.3,1134.7,992.2,848.1,763.9,607.4,539.4,291.1,287.5,275.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH_s	Rh	1.82	[3103.0,3082.9,1280.3,1134.7,992.2,848.1,763.9,607.4,539.4,291.1,287.5,275.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH_s	Ni	2.23	[3103.0,3082.9,1280.3,1134.7,992.2,848.1,763.9,607.4,539.4,291.1,287.5,275.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH_s	Cu	2.88	[3103.0,3082.9,1280.3,1134.7,992.2,848.1,763.9,607.4,539.4,291.1,287.5,275.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHC_s	Co	3.25	[3222.1,1510.4,842.1,719.7,498.9,357.1,298.2,268.4,165.3]	ACS Catal. 2021, 11, 23, 14545–14560
