species_name	surface_name	formation_energy	frequencies	reference
CH2CH2O_s	Pt	3.24	[3028.3,2969.4,2960.4,2774.3,1466.0,1372.7,1317.4,1217.6,1152.4,1070.8,945.4,893.7,842.6,580.5,454.0,370.0,312.4,278.4,255.8,247.9,244.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2O_s	Pd	3.28	[3028.3,2969.4,2960.4,2774.3,1466.0,1372.7,1317.4,1217.6,1152.4,1070.8,945.4,893.7,842.6,580.5,454.0,370.0,312.4,278.4,255.8,247.9,244.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2O_s	Ru	2.55	[3028.3,2969.4,2960.4,2774.3,1466.0,1372.7,1317.4,1217.6,1152.4,1070.8,945.4,893.7,842.6,580.5,454.0,370.0,312.4,278.4,255.8,247.9,244.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2O_s	Rh	2.72	[3028.3,2969.4,2960.4,2774.3,1466.0,1372.7,1317.4,1217.6,1152.4,1070.8,945.4,893.7,842.6,580.5,454.0,370.0,312.4,278.4,255.8,247.9,244.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2O_s	Ni	2.81	[3028.3,2969.4,2960.4,2774.3,1466.0,1372.7,1317.4,1217.6,1152.4,1070.8,945.4,893.7,842.6,580.5,454.0,370.0,312.4,278.4,255.8,247.9,244.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2O_s	Cu	3.51	[3028.3,2969.4,2960.4,2774.3,1466.0,1372.7,1317.4,1217.6,1152.4,1070.8,945.4,893.7,842.6,580.5,454.0,370.0,312.4,278.4,255.8,247.9,244.3]	ACS Catal. 2021, 11, 23, 14545–14560
CHCO_s	Co	3.46	[3055.4,1520.8,980.2,936.3,691.0,558.0,403.6,336.7,316.0,270.1,251.5,245.9]	ACS Catal. 2021, 11, 23, 14545–14560
CHCO_s	Fe	2.93	[3055.4,1520.8,980.2,936.3,691.0,558.0,403.6,336.7,316.0,270.1,251.5,245.9]	ACS Catal. 2021, 11, 23, 14545–14560
CHCO_s	Pt	3.16	[3055.4,1520.8,980.2,936.3,691.0,558.0,403.6,336.7,316.0,270.1,251.5,245.9]	ACS Catal. 2021, 11, 23, 14545–14560
CHCO_s	Pd	3.38	[3055.4,1520.8,980.2,936.3,691.0,558.0,403.6,336.7,316.0,270.1,251.5,245.9]	ACS Catal. 2021, 11, 23, 14545–14560
CHCO_s	Ru	2.97	[3055.4,1520.8,980.2,936.3,691.0,558.0,403.6,336.7,316.0,270.1,251.5,245.9]	ACS Catal. 2021, 11, 23, 14545–14560
CHCO_s	Rh	3.01	[3055.4,1520.8,980.2,936.3,691.0,558.0,403.6,336.7,316.0,270.1,251.5,245.9]	ACS Catal. 2021, 11, 23, 14545–14560
CHCO_s	Ni	3.51	[3055.4,1520.8,980.2,936.3,691.0,558.0,403.6,336.7,316.0,270.1,251.5,245.9]	ACS Catal. 2021, 11, 23, 14545–14560
CHCO_s	Cu	4.3	[3055.4,1520.8,980.2,936.3,691.0,558.0,403.6,336.7,316.0,270.1,251.5,245.9]	ACS Catal. 2021, 11, 23, 14545–14560
CHCHO_s	Co	2.8	[3010.4,2887.0,1384.3,1281.3,1231.8,1057.0,903.6,732.9,630.6,399.7,337.9,290.1,246.1,244.3,240.1]	ACS Catal. 2021, 11, 23, 14545–14560
CHCHO_s	Fe	2.2	[3010.4,2887.0,1384.3,1281.3,1231.8,1057.0,903.6,732.9,630.6,399.7,337.9,290.1,246.1,244.3,240.1]	ACS Catal. 2021, 11, 23, 14545–14560
CHCHO_s	Pt	3.19	[3010.4,2887.0,1384.3,1281.3,1231.8,1057.0,903.6,732.9,630.6,399.7,337.9,290.1,246.1,244.3,240.1]	ACS Catal. 2021, 11, 23, 14545–14560
CHCHO_s	Pd	3.32	[3010.4,2887.0,1384.3,1281.3,1231.8,1057.0,903.6,732.9,630.6,399.7,337.9,290.1,246.1,244.3,240.1]	ACS Catal. 2021, 11, 23, 14545–14560
CHCHO_s	Ru	2.52	[3010.4,2887.0,1384.3,1281.3,1231.8,1057.0,903.6,732.9,630.6,399.7,337.9,290.1,246.1,244.3,240.1]	ACS Catal. 2021, 11, 23, 14545–14560
CHCHO_s	Rh	2.68	[3010.4,2887.0,1384.3,1281.3,1231.8,1057.0,903.6,732.9,630.6,399.7,337.9,290.1,246.1,244.3,240.1]	ACS Catal. 2021, 11, 23, 14545–14560
CHCHO_s	Ni	2.97	[3010.4,2887.0,1384.3,1281.3,1231.8,1057.0,903.6,732.9,630.6,399.7,337.9,290.1,246.1,244.3,240.1]	ACS Catal. 2021, 11, 23, 14545–14560
CHCHO_s	Cu	3.93	[3010.4,2887.0,1384.3,1281.3,1231.8,1057.0,903.6,732.9,630.6,399.7,337.9,290.1,246.1,244.3,240.1]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH2O_s	Co	2.17	[2978.3,2933.1,2841.0,1441.6,1299.5,1160.6,1100.6,939.3,924.7,841.2,624.8,495.9,425.5,379.6,304.1,276.2,258.6,254.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH2O_s	Fe	1.63	[2978.3,2933.1,2841.0,1441.6,1299.5,1160.6,1100.6,939.3,924.7,841.2,624.8,495.9,425.5,379.6,304.1,276.2,258.6,254.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH2O_s	Pt	2.48	[2978.3,2933.1,2841.0,1441.6,1299.5,1160.6,1100.6,939.3,924.7,841.2,624.8,495.9,425.5,379.6,304.1,276.2,258.6,254.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH2O_s	Pd	2.61	[2978.3,2933.1,2841.0,1441.6,1299.5,1160.6,1100.6,939.3,924.7,841.2,624.8,495.9,425.5,379.6,304.1,276.2,258.6,254.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH2O_s	Ru	1.91	[2978.3,2933.1,2841.0,1441.6,1299.5,1160.6,1100.6,939.3,924.7,841.2,624.8,495.9,425.5,379.6,304.1,276.2,258.6,254.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH2O_s	Rh	2.05	[2978.3,2933.1,2841.0,1441.6,1299.5,1160.6,1100.6,939.3,924.7,841.2,624.8,495.9,425.5,379.6,304.1,276.2,258.6,254.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH2O_s	Ni	2.32	[2978.3,2933.1,2841.0,1441.6,1299.5,1160.6,1100.6,939.3,924.7,841.2,624.8,495.9,425.5,379.6,304.1,276.2,258.6,254.8]	ACS Catal. 2021, 11, 23, 14545–14560
CHCH2O_s	Cu	3.17	[2978.3,2933.1,2841.0,1441.6,1299.5,1160.6,1100.6,939.3,924.7,841.2,624.8,495.9,425.5,379.6,304.1,276.2,258.6,254.8]	ACS Catal. 2021, 11, 23, 14545–14560
COOH_s	Co	1.78	[3743.5,1507.3,1207.8,1139.9,683.9,581.6,500.9,343.9,292.6,136.5,133.4,128.6]	ACS Catal. 2021, 11, 23, 14545–14560
COOH_s	Fe	1.4	[3743.5,1507.3,1207.8,1139.9,683.9,581.6,500.9,343.9,292.6,136.5,133.4,128.6]	ACS Catal. 2021, 11, 23, 14545–14560
COOH_s	Pt	1.56	[3743.5,1507.3,1207.8,1139.9,683.9,581.6,500.9,343.9,292.6,136.5,133.4,128.6]	ACS Catal. 2021, 11, 23, 14545–14560
COOH_s	Pd	1.73	[3743.5,1507.3,1207.8,1139.9,683.9,581.6,500.9,343.9,292.6,136.5,133.4,128.6]	ACS Catal. 2021, 11, 23, 14545–14560
COOH_s	Ru	1.43	[3743.5,1507.3,1207.8,1139.9,683.9,581.6,500.9,343.9,292.6,136.5,133.4,128.6]	ACS Catal. 2021, 11, 23, 14545–14560
COOH_s	Rh	1.46	[3743.5,1507.3,1207.8,1139.9,683.9,581.6,500.9,343.9,292.6,136.5,133.4,128.6]	ACS Catal. 2021, 11, 23, 14545–14560
COOH_s	Ni	1.82	[3743.5,1507.3,1207.8,1139.9,683.9,581.6,500.9,343.9,292.6,136.5,133.4,128.6]	ACS Catal. 2021, 11, 23, 14545–14560
COOH_s	Cu	2.42	[3743.5,1507.3,1207.8,1139.9,683.9,581.6,500.9,343.9,292.6,136.5,133.4,128.6]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH2_s	Co	1.99	[3063.3,3062.1,3047.4,2989.1,2988.1,2985.1,2954.1,1485.6,1478.1,1457.1,1435.1,1383.8,1304.9,1287.9,1208.5,1148.0,1051.7,988.4,966.3,886.6,799.2,688.6,576.6,262.6,234.4,186.0,132.3,125.2,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH2_s	Fe	1.71	[3063.3,3062.1,3047.4,2989.1,2988.1,2985.1,2954.1,1485.6,1478.1,1457.1,1435.1,1383.8,1304.9,1287.9,1208.5,1148.0,1051.7,988.4,966.3,886.6,799.2,688.6,576.6,262.6,234.4,186.0,132.3,125.2,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH2_s	Pt	1.84	[3063.3,3062.1,3047.4,2989.1,2988.1,2985.1,2954.1,1485.6,1478.1,1457.1,1435.1,1383.8,1304.9,1287.9,1208.5,1148.0,1051.7,988.4,966.3,886.6,799.2,688.6,576.6,262.6,234.4,186.0,132.3,125.2,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH2_s	Pd	1.95	[3063.3,3062.1,3047.4,2989.1,2988.1,2985.1,2954.1,1485.6,1478.1,1457.1,1435.1,1383.8,1304.9,1287.9,1208.5,1148.0,1051.7,988.4,966.3,886.6,799.2,688.6,576.6,262.6,234.4,186.0,132.3,125.2,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH2_s	Ru	1.74	[3063.3,3062.1,3047.4,2989.1,2988.1,2985.1,2954.1,1485.6,1478.1,1457.1,1435.1,1383.8,1304.9,1287.9,1208.5,1148.0,1051.7,988.4,966.3,886.6,799.2,688.6,576.6,262.6,234.4,186.0,132.3,125.2,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH2_s	Rh	1.76	[3063.3,3062.1,3047.4,2989.1,2988.1,2985.1,2954.1,1485.6,1478.1,1457.1,1435.1,1383.8,1304.9,1287.9,1208.5,1148.0,1051.7,988.4,966.3,886.6,799.2,688.6,576.6,262.6,234.4,186.0,132.3,125.2,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH2_s	Ni	2.02	[3063.3,3062.1,3047.4,2989.1,2988.1,2985.1,2954.1,1485.6,1478.1,1457.1,1435.1,1383.8,1304.9,1287.9,1208.5,1148.0,1051.7,988.4,966.3,886.6,799.2,688.6,576.6,262.6,234.4,186.0,132.3,125.2,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH2_s	Cu	2.46	[3063.3,3062.1,3047.4,2989.1,2988.1,2985.1,2954.1,1485.6,1478.1,1457.1,1435.1,1383.8,1304.9,1287.9,1208.5,1148.0,1051.7,988.4,966.3,886.6,799.2,688.6,576.6,262.6,234.4,186.0,132.3,125.2,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH_s	Co	2.56	[3074.5,3067.2,2991.2,2977.8,2958.8,2900.0,1482.5,1472.9,1429.8,1385.7,1304.6,1252.5,1216.9,1066.8,1027.9,994.2,899.8,834.5,778.1,562.9,437.8,289.5,246.7,202.2,137.7,135.7,131.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH_s	Fe	2.02	[3074.5,3067.2,2991.2,2977.8,2958.8,2900.0,1482.5,1472.9,1429.8,1385.7,1304.6,1252.5,1216.9,1066.8,1027.9,994.2,899.8,834.5,778.1,562.9,437.8,289.5,246.7,202.2,137.7,135.7,131.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH_s	Pt	2.25	[3074.5,3067.2,2991.2,2977.8,2958.8,2900.0,1482.5,1472.9,1429.8,1385.7,1304.6,1252.5,1216.9,1066.8,1027.9,994.2,899.8,834.5,778.1,562.9,437.8,289.5,246.7,202.2,137.7,135.7,131.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH_s	Pd	2.48	[3074.5,3067.2,2991.2,2977.8,2958.8,2900.0,1482.5,1472.9,1429.8,1385.7,1304.6,1252.5,1216.9,1066.8,1027.9,994.2,899.8,834.5,778.1,562.9,437.8,289.5,246.7,202.2,137.7,135.7,131.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH_s	Ru	2.06	[3074.5,3067.2,2991.2,2977.8,2958.8,2900.0,1482.5,1472.9,1429.8,1385.7,1304.6,1252.5,1216.9,1066.8,1027.9,994.2,899.8,834.5,778.1,562.9,437.8,289.5,246.7,202.2,137.7,135.7,131.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH_s	Rh	2.11	[3074.5,3067.2,2991.2,2977.8,2958.8,2900.0,1482.5,1472.9,1429.8,1385.7,1304.6,1252.5,1216.9,1066.8,1027.9,994.2,899.8,834.5,778.1,562.9,437.8,289.5,246.7,202.2,137.7,135.7,131.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH_s	Ni	2.61	[3074.5,3067.2,2991.2,2977.8,2958.8,2900.0,1482.5,1472.9,1429.8,1385.7,1304.6,1252.5,1216.9,1066.8,1027.9,994.2,899.8,834.5,778.1,562.9,437.8,289.5,246.7,202.2,137.7,135.7,131.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2CH_s	Cu	3.48	[3074.5,3067.2,2991.2,2977.8,2958.8,2900.0,1482.5,1472.9,1429.8,1385.7,1304.6,1252.5,1216.9,1066.8,1027.9,994.2,899.8,834.5,778.1,562.9,437.8,289.5,246.7,202.2,137.7,135.7,131.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH2_s	Co	2.2	[3086.7,3070.4,3030.2,3014.3,3006.4,2953.6,1469.8,1458.0,1434.2,1381.8,1327.5,1177.2,1099.8,1051.9,1032.4,978.7,937.3,866.9,732.1,553.2,434.4,377.9,247.4,236.3,176.5,133.4,128.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH2_s	Fe	2.08	[3086.7,3070.4,3030.2,3014.3,3006.4,2953.6,1469.8,1458.0,1434.2,1381.8,1327.5,1177.2,1099.8,1051.9,1032.4,978.7,937.3,866.9,732.1,553.2,434.4,377.9,247.4,236.3,176.5,133.4,128.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH2_s	Pt	2.13	[3086.7,3070.4,3030.2,3014.3,3006.4,2953.6,1469.8,1458.0,1434.2,1381.8,1327.5,1177.2,1099.8,1051.9,1032.4,978.7,937.3,866.9,732.1,553.2,434.4,377.9,247.4,236.3,176.5,133.4,128.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH2_s	Pd	2.18	[3086.7,3070.4,3030.2,3014.3,3006.4,2953.6,1469.8,1458.0,1434.2,1381.8,1327.5,1177.2,1099.8,1051.9,1032.4,978.7,937.3,866.9,732.1,553.2,434.4,377.9,247.4,236.3,176.5,133.4,128.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH2_s	Ru	2.09	[3086.7,3070.4,3030.2,3014.3,3006.4,2953.6,1469.8,1458.0,1434.2,1381.8,1327.5,1177.2,1099.8,1051.9,1032.4,978.7,937.3,866.9,732.1,553.2,434.4,377.9,247.4,236.3,176.5,133.4,128.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH2_s	Rh	2.1	[3086.7,3070.4,3030.2,3014.3,3006.4,2953.6,1469.8,1458.0,1434.2,1381.8,1327.5,1177.2,1099.8,1051.9,1032.4,978.7,937.3,866.9,732.1,553.2,434.4,377.9,247.4,236.3,176.5,133.4,128.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH2_s	Ni	2.21	[3086.7,3070.4,3030.2,3014.3,3006.4,2953.6,1469.8,1458.0,1434.2,1381.8,1327.5,1177.2,1099.8,1051.9,1032.4,978.7,937.3,866.9,732.1,553.2,434.4,377.9,247.4,236.3,176.5,133.4,128.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH2_s	Cu	2.39	[3086.7,3070.4,3030.2,3014.3,3006.4,2953.6,1469.8,1458.0,1434.2,1381.8,1327.5,1177.2,1099.8,1051.9,1032.4,978.7,937.3,866.9,732.1,553.2,434.4,377.9,247.4,236.3,176.5,133.4,128.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2C_s	Co	2.53	[3079.7,3075.0,3003.6,2998.5,2963.9,1484.2,1475.8,1427.9,1387.8,1286.2,1245.9,1083.1,1047.2,1032.7,917.8,769.2,570.2,463.8,411.8,258.0,248.0,160.3,137.6,134.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2C_s	Fe	1.84	[3079.7,3075.0,3003.6,2998.5,2963.9,1484.2,1475.8,1427.9,1387.8,1286.2,1245.9,1083.1,1047.2,1032.7,917.8,769.2,570.2,463.8,411.8,258.0,248.0,160.3,137.6,134.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2C_s	Pt	2.14	[3079.7,3075.0,3003.6,2998.5,2963.9,1484.2,1475.8,1427.9,1387.8,1286.2,1245.9,1083.1,1047.2,1032.7,917.8,769.2,570.2,463.8,411.8,258.0,248.0,160.3,137.6,134.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2C_s	Pd	2.43	[3079.7,3075.0,3003.6,2998.5,2963.9,1484.2,1475.8,1427.9,1387.8,1286.2,1245.9,1083.1,1047.2,1032.7,917.8,769.2,570.2,463.8,411.8,258.0,248.0,160.3,137.6,134.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2C_s	Ru	1.89	[3079.7,3075.0,3003.6,2998.5,2963.9,1484.2,1475.8,1427.9,1387.8,1286.2,1245.9,1083.1,1047.2,1032.7,917.8,769.2,570.2,463.8,411.8,258.0,248.0,160.3,137.6,134.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2C_s	Rh	1.95	[3079.7,3075.0,3003.6,2998.5,2963.9,1484.2,1475.8,1427.9,1387.8,1286.2,1245.9,1083.1,1047.2,1032.7,917.8,769.2,570.2,463.8,411.8,258.0,248.0,160.3,137.6,134.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2C_s	Ni	2.6	[3079.7,3075.0,3003.6,2998.5,2963.9,1484.2,1475.8,1427.9,1387.8,1286.2,1245.9,1083.1,1047.2,1032.7,917.8,769.2,570.2,463.8,411.8,258.0,248.0,160.3,137.6,134.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2C_s	Cu	3.75	[3079.7,3075.0,3003.6,2998.5,2963.9,1484.2,1475.8,1427.9,1387.8,1286.2,1245.9,1083.1,1047.2,1032.7,917.8,769.2,570.2,463.8,411.8,258.0,248.0,160.3,137.6,134.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH_s	Co	2.78	[3074.2,3035.9,2991.7,2986.8,2957.3,1465.2,1454.2,1376.6,1291.8,1123.7,1099.2,1045.4,980.2,911.9,887.6,716.8,593.3,502.4,442.6,306.6,259.2,211.0,179.7,136.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH_s	Fe	2.3	[3074.2,3035.9,2991.7,2986.8,2957.3,1465.2,1454.2,1376.6,1291.8,1123.7,1099.2,1045.4,980.2,911.9,887.6,716.8,593.3,502.4,442.6,306.6,259.2,211.0,179.7,136.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH_s	Pt	2.51	[3074.2,3035.9,2991.7,2986.8,2957.3,1465.2,1454.2,1376.6,1291.8,1123.7,1099.2,1045.4,980.2,911.9,887.6,716.8,593.3,502.4,442.6,306.6,259.2,211.0,179.7,136.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH_s	Pd	2.72	[3074.2,3035.9,2991.7,2986.8,2957.3,1465.2,1454.2,1376.6,1291.8,1123.7,1099.2,1045.4,980.2,911.9,887.6,716.8,593.3,502.4,442.6,306.6,259.2,211.0,179.7,136.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH_s	Ru	2.34	[3074.2,3035.9,2991.7,2986.8,2957.3,1465.2,1454.2,1376.6,1291.8,1123.7,1099.2,1045.4,980.2,911.9,887.6,716.8,593.3,502.4,442.6,306.6,259.2,211.0,179.7,136.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH_s	Rh	2.38	[3074.2,3035.9,2991.7,2986.8,2957.3,1465.2,1454.2,1376.6,1291.8,1123.7,1099.2,1045.4,980.2,911.9,887.6,716.8,593.3,502.4,442.6,306.6,259.2,211.0,179.7,136.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH_s	Ni	2.83	[3074.2,3035.9,2991.7,2986.8,2957.3,1465.2,1454.2,1376.6,1291.8,1123.7,1099.2,1045.4,980.2,911.9,887.6,716.8,593.3,502.4,442.6,306.6,259.2,211.0,179.7,136.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHCH_s	Cu	3.57	[3074.2,3035.9,2991.7,2986.8,2957.3,1465.2,1454.2,1376.6,1291.8,1123.7,1099.2,1045.4,980.2,911.9,887.6,716.8,593.3,502.4,442.6,306.6,259.2,211.0,179.7,136.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHC_s	Co	2.97	[3086.6,3070.0,3047.2,2973.1,1465.2,1454.0,1386.3,1368.6,1232.4,1071.9,1021.7,920.2,849.0,619.9,470.1,415.6,309.2,291.8,183.0,150.9,143.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHC_s	Fe	2.33	[3086.6,3070.0,3047.2,2973.1,1465.2,1454.0,1386.3,1368.6,1232.4,1071.9,1021.7,920.2,849.0,619.9,470.1,415.6,309.2,291.8,183.0,150.9,143.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHC_s	Pt	2.61	[3086.6,3070.0,3047.2,2973.1,1465.2,1454.0,1386.3,1368.6,1232.4,1071.9,1021.7,920.2,849.0,619.9,470.1,415.6,309.2,291.8,183.0,150.9,143.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHC_s	Pd	2.88	[3086.6,3070.0,3047.2,2973.1,1465.2,1454.0,1386.3,1368.6,1232.4,1071.9,1021.7,920.2,849.0,619.9,470.1,415.6,309.2,291.8,183.0,150.9,143.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHC_s	Ru	2.38	[3086.6,3070.0,3047.2,2973.1,1465.2,1454.0,1386.3,1368.6,1232.4,1071.9,1021.7,920.2,849.0,619.9,470.1,415.6,309.2,291.8,183.0,150.9,143.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHC_s	Rh	2.44	[3086.6,3070.0,3047.2,2973.1,1465.2,1454.0,1386.3,1368.6,1232.4,1071.9,1021.7,920.2,849.0,619.9,470.1,415.6,309.2,291.8,183.0,150.9,143.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHC_s	Ni	3.04	[3086.6,3070.0,3047.2,2973.1,1465.2,1454.0,1386.3,1368.6,1232.4,1071.9,1021.7,920.2,849.0,619.9,470.1,415.6,309.2,291.8,183.0,150.9,143.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHC_s	Cu	4.05	[3086.6,3070.0,3047.2,2973.1,1465.2,1454.0,1386.3,1368.6,1232.4,1071.9,1021.7,920.2,849.0,619.9,470.1,415.6,309.2,291.8,183.0,150.9,143.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCH_s	Co	2.73	[3078.6,3077.4,3049.5,2977.2,1456.4,1440.1,1371.6,1343.8,1118.8,1019.6,994.2,934.4,805.8,645.6,455.1,371.9,303.1,271.9,202.0,137.1,134.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCH_s	Fe	2.32	[3078.6,3077.4,3049.5,2977.2,1456.4,1440.1,1371.6,1343.8,1118.8,1019.6,994.2,934.4,805.8,645.6,455.1,371.9,303.1,271.9,202.0,137.1,134.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCH_s	Pt	2.5	[3078.6,3077.4,3049.5,2977.2,1456.4,1440.1,1371.6,1343.8,1118.8,1019.6,994.2,934.4,805.8,645.6,455.1,371.9,303.1,271.9,202.0,137.1,134.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCH_s	Pd	2.67	[3078.6,3077.4,3049.5,2977.2,1456.4,1440.1,1371.6,1343.8,1118.8,1019.6,994.2,934.4,805.8,645.6,455.1,371.9,303.1,271.9,202.0,137.1,134.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCH_s	Ru	2.35	[3078.6,3077.4,3049.5,2977.2,1456.4,1440.1,1371.6,1343.8,1118.8,1019.6,994.2,934.4,805.8,645.6,455.1,371.9,303.1,271.9,202.0,137.1,134.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCH_s	Rh	2.39	[3078.6,3077.4,3049.5,2977.2,1456.4,1440.1,1371.6,1343.8,1118.8,1019.6,994.2,934.4,805.8,645.6,455.1,371.9,303.1,271.9,202.0,137.1,134.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCH_s	Ni	2.77	[3078.6,3077.4,3049.5,2977.2,1456.4,1440.1,1371.6,1343.8,1118.8,1019.6,994.2,934.4,805.8,645.6,455.1,371.9,303.1,271.9,202.0,137.1,134.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCH_s	Cu	3.37	[3078.6,3077.4,3049.5,2977.2,1456.4,1440.1,1371.6,1343.8,1118.8,1019.6,994.2,934.4,805.8,645.6,455.1,371.9,303.1,271.9,202.0,137.1,134.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCO_s	Co	3.84	[3070.0,3050.9,2979.8,1484.3,1460.4,1449.9,1371.2,1106.8,1038.8,986.5,824.6,650.5,387.7,354.9,327.3,271.3,250.8,249.2,244.6,244.1,233.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCO_s	Fe	3.31	[3070.0,3050.9,2979.8,1484.3,1460.4,1449.9,1371.2,1106.8,1038.8,986.5,824.6,650.5,387.7,354.9,327.3,271.3,250.8,249.2,244.6,244.1,233.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCO_s	Pt	3.54	[3070.0,3050.9,2979.8,1484.3,1460.4,1449.9,1371.2,1106.8,1038.8,986.5,824.6,650.5,387.7,354.9,327.3,271.3,250.8,249.2,244.6,244.1,233.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCO_s	Pd	3.77	[3070.0,3050.9,2979.8,1484.3,1460.4,1449.9,1371.2,1106.8,1038.8,986.5,824.6,650.5,387.7,354.9,327.3,271.3,250.8,249.2,244.6,244.1,233.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCO_s	Ru	3.35	[3070.0,3050.9,2979.8,1484.3,1460.4,1449.9,1371.2,1106.8,1038.8,986.5,824.6,650.5,387.7,354.9,327.3,271.3,250.8,249.2,244.6,244.1,233.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCO_s	Rh	3.4	[3070.0,3050.9,2979.8,1484.3,1460.4,1449.9,1371.2,1106.8,1038.8,986.5,824.6,650.5,387.7,354.9,327.3,271.3,250.8,249.2,244.6,244.1,233.8]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CCO_s	Ni	3.9	[3070.0,3050.9,2979.8,1484.3,1460.4,1449.9,1371.2,1106.8,1038.8,986.5,824.6,650.5,387.7,354.9,327.3,271.3,250.8,249.2,244.6,244.1,233.8]	ACS Catal. 2021, 11, 23, 14545–14560
